New_Column,Original_Column,N,Mean,SD,Median,Min,Max
Q82,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [諮商補助],6,3.8333333333333335,0.40824829046386296,4,3,4
Q84,我覺得我的工作是有意義的,18,3.8333333333333335,0.38348249442368515,4,3,4
Q85,我覺得我在工作中持續成長,18,3.6666666666666665,0.6859943405700354,4,2,4
Q86,我覺得在目前工作上，成長最多的能力是？ [問題解決],18,3.388888888888889,0.6978023391872251,3.5,2,4
Q87,我覺得在目前工作上，成長最多的能力是？ [分析與策略思維],18,3.5555555555555554,0.6156987634551992,4,2,4
Q88,我覺得在目前工作上，成長最多的能力是？ [專案與資源管理],18,3.6666666666666665,0.5940885257860047,4,2,4
Q89,我覺得在目前工作上，成長最多的能力是？ [自我覺察與自我成長],18,3.388888888888889,0.6076849889141857,3,2,4
Q90,我覺得在目前工作上，成長最多的能力是？ [發展與輔導他人],18,3.1666666666666665,0.6183469424008423,3,2,4
Q91,我覺得在目前工作上，成長最多的能力是？ [溝通／引導],18,3.5555555555555554,0.6156987634551992,4,2,4
Q92,我覺得在目前工作上，成長最多的能力是？ [會議管理],18,3.1666666666666665,0.7071067811865476,3,2,4
Q93,我覺得在目前工作上，成長最多的能力是？ [數據分析],18,2.2777777777777777,0.7519039015221182,2,1,4
Q94,我覺得在目前工作上，成長最多的能力是？ [體驗設計],18,3,0.7669649888473704,3,2,4
Q96,組織內有我視為導師的人,18,3.6666666666666665,0.48507125007266594,4,3,4
Q97,目前的職涯發展機會對我有吸引力,18,2.888888888888889,0.8323523637957303,3,1,4
Q98,目前的薪資福利，能鼓勵我發揮最佳表現,18,2.9444444444444446,0.802365782965103,3,1,4
Q99,我希望自己未來能成為 誠致 領導人（例如：組長、經理、總監）,18,2.888888888888889,0.8323523637957303,3,1,4
Q100,我預計會在 誠致 持續任職,18,1.3055555555555556,0.6889653130705341,1.5,0,2
Q101,如果有機會，我會考慮到 KIST 學校 服務,18,2.3333333333333335,1.028991510855053,2.5,1,4
Q103,我對身為 誠致 的一員感到驕傲,18,3.7222222222222223,0.5745131499601417,4,2,4
Q104,整體而言，我對於在 誠致 工作的滿意度是：,18,8.38888888888889,0.978527638786601,9,6,10
Q106,我會向合適的人才推薦 誠致,18,3.7777777777777777,0.4277926319464986,4,3,4
