Q4_grouped,New_Column,Original_Column,N,Mean,SD,Median,Min,Max
1-2 年,Q10,我當初選擇加入誠致的原因 [認同組織核心價值與文化],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q11,我當初選擇加入誠致的原因 [尋求理念一致的夥伴],7,3,1.1547005383792515,3,1,4
1-2 年,Q12,我當初選擇加入誠致的原因 [薪資福利],7,2.4285714285714284,1.1338934190276817,3,1,4
1-2 年,Q15,我認同 KIST 的願景：給孩子公平發展天賦的舞台,7,4,0,4,4,4
1-2 年,Q16,我理解且認同以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q17,我理解且認同以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q18,我理解且認同以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],7,4,0,4,4,4
1-2 年,Q19,我理解且認同以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q20,我理解且認同以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q21,我理解且認同以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],7,3.5714285714285716,0.5345224838248488,4,3,4
1-2 年,Q22,我有具體實踐以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],7,3.5714285714285716,0.5345224838248487,4,3,4
1-2 年,Q23,我有具體實踐以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],7,3.4285714285714284,0.5345224838248487,3,3,4
1-2 年,Q24,我有具體實踐以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],7,3.7142857142857144,0.48795003647426655,4,3,4
1-2 年,Q25,我有具體實踐以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q26,我有具體實踐以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q27,我有具體實踐以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],7,3,0.5773502691896257,3,2,4
1-2 年,Q28,我理解以下 KIST 教學特色 [嚴謹教學循環（SEAMS）],7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q29,我理解以下 KIST 教學特色 [卓越教學架構],7,3.5714285714285716,0.5345224838248487,4,3,4
1-2 年,Q30,我理解以下 KIST 教學特色 [社交與情緒學習 SEL],7,3.5714285714285716,0.5345224838248487,4,3,4
1-2 年,Q31,我理解以下 KIST 教學特色 [品格鍛鍊],7,3.2857142857142856,1.496026483086191,4,0,4
1-2 年,Q32,我理解以下 KIST 教學特色 [個人化學習],7,3,1.4142135623730951,3,0,4
1-2 年,Q33,我理解以下 KIST 教學特色 [文化相關教育學 CRP],7,2.5714285714285716,1.2724180205607034,3,0,4
1-2 年,Q34,我理解以下 KIST 教學特色 [專題與探究學習 PBL],7,3.5714285714285716,0.5345224838248488,4,3,4
1-2 年,Q35,我理解以下 KIST 教學特色 [永續發展目標 SDGs],7,3.4285714285714284,0.5345224838248487,3,3,4
1-2 年,Q36,在我的工作場域，我們的語言與行動都有清楚回應 聯盟 的願景與發展目標,7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q37,在我的工作場域，我們會為聯盟的願景與目標全力以赴,7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q38,KIST 聯盟中有我視為導師的人,7,3.7142857142857144,0.48795003647426655,4,3,4
1-2 年,Q39,我對身為 KIST 聯盟的一員感到驕傲,7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q40,我會向合適的人才推薦 KIST 聯盟,7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q41,整體而言，我對於與 KIST 聯盟協作感到滿意,7,3.2857142857142856,0.9511897312113419,4,2,4
1-2 年,Q46,我認同 組織 的使命願景：關懷弱勢，科學救國,6,3.6666666666666665,0.5163977794943222,4,3,4
1-2 年,Q47,在我的工作場域，我們的語言與行動都有清楚回應 組織 的願景與發展目標,7,3.142857142857143,0.8997354108424372,3,2,4
1-2 年,Q48,我瞭解組織的相關動態（例如：重要活動日期、重大消息...等）,7,3.7142857142857144,0.48795003647426666,4,3,4
1-2 年,Q49,我清楚我的工作目標，以及組織對我工作成果的期望,7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q50,我理解我的工作與組織目標的關聯性,7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q51,我擁有做好我工作所需要的資源（包含：資料、資訊、設備...),7,3.2857142857142856,0.7559289460184545,3,2,4
1-2 年,Q52,在工作中，我有足夠的學習機會或資源，提升我工作所需的知識與技能,7,3.2857142857142856,0.7559289460184545,3,2,4
1-2 年,Q53,組織目前的協作方式或政策，能有效促進溝通效率和合作品質,7,3.142857142857143,0.6900655593423541,3,2,4
1-2 年,Q54,當我在組織與不同夥伴或組別合作時，過程是順暢的,7,3.5714285714285716,0.5345224838248487,4,3,4
1-2 年,Q55,在工作中，我覺得我的意見受到重視,7,4,0,4,4,4
1-2 年,Q56,工作遇到問題時，我知道如何從內部尋求諮詢與取得資源協助,7,3.7142857142857144,0.48795003647426655,4,3,4
1-2 年,Q57,我能在工作中建立有意義的人際關係,7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q58,針對我的工作表現，我可以收到實用且及時的回饋,7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q59,我的工作表現出色時，會收到正面肯定與回饋,7,4,0,4,4,4
1-2 年,Q60,組織中有關心我身心狀態與幸福感的人,7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q61,對於與我個人或我工作攸關的決策中，我有機會理解決策的原委,7,3.857142857142857,0.37796447300922725,4,3,4
1-2 年,Q62,我對組織的領導團隊有信心,7,3.7142857142857144,0.7559289460184545,4,2,4
1-2 年,Q63,我可以安心地和領導團隊溝通我的建議和想法（用愛心說真話）,7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q64,組織夥伴會為組織的願景與目標全力以赴,7,3.857142857142857,0.3779644730092273,4,3,4
1-2 年,Q65,當環境或工作進展出現超出預期的變化時，我們能夠快速做出有效的回應，包含決策和行動的調整,7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q66,我們在決策與執行的過程中，能充分納入內外部利害關係人的觀點,7,3.4285714285714284,0.5345224838248488,3,3,4
1-2 年,Q67,就算不一定會成功，我們仍被鼓勵持續突破與創新,7,4,0,4,4,4
1-2 年,Q68,在嘗試後如果結果不如預期，我們很可能會受到責難或處罰,7,1.1428571428571428,0.37796447300922725,1,1,2
1-2 年,Q69,我們總是可以從失敗的經驗中學習,7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q74,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [個人發展藍圖（職涯發展藍圖）],5,2.8,0.44721359549995793,3,2,3
1-2 年,Q75,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [IDP & O3],6,3.3333333333333335,0.816496580927726,3.5,2,4
1-2 年,Q76,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [增能課程],7,3.5714285714285716,0.5345224838248487,4,3,4
1-2 年,Q77,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [小後台圍圈],4,3.5,0.5773502691896257,3.5,3,4
1-2 年,Q78,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [相揪 KI 運動],6,3.3333333333333335,0.816496580927726,3.5,2,4
1-2 年,Q79,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [動滋券],6,3.8333333333333335,0.408248290463863,4,3,4
1-2 年,Q80,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [專業成長券],5,3.6,0.5477225575051661,4,3,4
1-2 年,Q81,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [健康檢查],1,4,NA,4,4,4
1-2 年,Q82,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [諮商補助],1,4,NA,4,4,4
1-2 年,Q84,我覺得我的工作是有意義的,7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q85,我覺得我在工作中持續成長,7,3.5714285714285716,0.7867957924694432,4,2,4
1-2 年,Q86,我覺得在目前工作上，成長最多的能力是？ [問題解決],7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q87,我覺得在目前工作上，成長最多的能力是？ [分析與策略思維],7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q88,我覺得在目前工作上，成長最多的能力是？ [專案與資源管理],7,3.7142857142857144,0.48795003647426655,4,3,4
1-2 年,Q89,我覺得在目前工作上，成長最多的能力是？ [自我覺察與自我成長],7,3.2857142857142856,0.4879500364742666,3,3,4
1-2 年,Q90,我覺得在目前工作上，成長最多的能力是？ [發展與輔導他人],7,3.142857142857143,0.6900655593423541,3,2,4
1-2 年,Q91,我覺得在目前工作上，成長最多的能力是？ [溝通／引導],7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q92,我覺得在目前工作上，成長最多的能力是？ [會議管理],7,3.4285714285714284,0.7867957924694432,4,2,4
1-2 年,Q93,我覺得在目前工作上，成長最多的能力是？ [數據分析],7,2.142857142857143,0.6900655593423541,2,1,3
1-2 年,Q94,我覺得在目前工作上，成長最多的能力是？ [體驗設計],7,3.2857142857142856,0.7559289460184545,3,2,4
1-2 年,Q96,組織內有我視為導師的人,7,3.7142857142857144,0.48795003647426655,4,3,4
1-2 年,Q97,目前的職涯發展機會對我有吸引力,7,3.2857142857142856,0.7559289460184545,3,2,4
1-2 年,Q98,目前的薪資福利，能鼓勵我發揮最佳表現,7,3.2857142857142856,0.7559289460184545,3,2,4
1-2 年,Q99,我希望自己未來能成為 誠致 領導人（例如：組長、經理、總監）,7,3.142857142857143,0.6900655593423541,3,2,4
1-2 年,Q100,我預計會在 誠致 持續任職,7,1.5714285714285714,0.5345224838248487,1.5,0.5,2
1-2 年,Q101,如果有機會，我會考慮到 KIST 學校 服務,7,2.5714285714285716,0.9759000729485333,3,1,4
1-2 年,Q103,我對身為 誠致 的一員感到驕傲,7,3.7142857142857144,0.4879500364742666,4,3,4
1-2 年,Q104,整體而言，我對於在 誠致 工作的滿意度是：,7,8.571428571428571,1.2724180205607034,9,6,10
1-2 年,Q106,我會向合適的人才推薦 誠致,7,3.7142857142857144,0.48795003647426655,4,3,4
2-3 年,Q5,我在加入 誠致「前」的工作年資,5,3,4.123105625617661,2,0,10
2-3 年,Q6,我當初選擇加入誠致的原因 [期待自己能實際參與改變教育],5,3,0.7071067811865476,3,2,4
2-3 年,Q7,我當初選擇加入誠致的原因 [能跟過去經驗有所連結],5,3.6,0.5477225575051661,4,3,4
2-3 年,Q8,我當初選擇加入誠致的原因 [彈性自主的工作環境（彈性工時、工作地點）],5,3.4,0.8944271909999159,4,2,4
2-3 年,Q9,我當初選擇加入誠致的原因 [能嘗試跨域專案，累積多元歷練],5,3.6,0.8944271909999159,4,2,4
2-3 年,Q10,我當初選擇加入誠致的原因 [認同組織核心價值與文化],5,3.6,0.5477225575051661,4,3,4
2-3 年,Q11,我當初選擇加入誠致的原因 [尋求理念一致的夥伴],5,3.4,1.3416407864998738,4,1,4
2-3 年,Q12,我當初選擇加入誠致的原因 [薪資福利],5,2.6,0.5477225575051661,3,2,3
2-3 年,Q15,我認同 KIST 的願景：給孩子公平發展天賦的舞台,5,4,0,4,4,4
2-3 年,Q16,我理解且認同以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],5,3.6,0.5477225575051661,4,3,4
2-3 年,Q17,我理解且認同以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],5,4,0,4,4,4
2-3 年,Q18,我理解且認同以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],5,3.4,0.5477225575051661,3,3,4
2-3 年,Q19,我理解且認同以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],5,4,0,4,4,4
2-3 年,Q20,我理解且認同以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],5,3.8,0.44721359549995787,4,3,4
2-3 年,Q21,我理解且認同以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],5,4,0,4,4,4
2-3 年,Q22,我有具體實踐以下的 KIST 核心價值 [當責態度（當責始終在我／遇到問題，不究責諉過，致力於找出更好的方法／持續對學生、家人與同事做出重要承諾）],5,3.2,0.8366600265340756,3,2,4
2-3 年,Q23,我有具體實踐以下的 KIST 核心價值 [成長心態（所有人都可以並願意學習／持續致力於成為更好的人／挫敗是寶藏，淘洗出金塊來）],5,3,1.224744871391589,3,1,4
2-3 年,Q24,我有具體實踐以下的 KIST 核心價值 [團隊協作（發揮打群架的精神／KIST 是團隊、也是家人／透過協作創新、用全村力量辦學）],5,3.2,0.44721359549995793,3,3,4
2-3 年,Q25,我有具體實踐以下的 KIST 核心價值 [誠信正直（用愛心說真話／秉持當事人原則／以學生最佳利益為中心的決策／以身作則，說的等於做的）],5,3.6,0.5477225575051661,4,3,4
2-3 年,Q26,我有具體實踐以下的 KIST 核心價值 [多元包容（差異是力量的來源／積極傾聽、善意溝通／公平、多元、包容、創造幸福）],5,3.6,0.8944271909999159,4,2,4
2-3 年,Q27,我有具體實踐以下的 KIST 核心價值 [健康幸福（健康第一、家庭第二、樂在工作／時時保持情緒與心理的更新／從工作中產生意義與樂趣）],5,3.4,0.5477225575051661,3,3,4
2-3 年,Q28,我理解以下 KIST 教學特色 [嚴謹教學循環（SEAMS）],5,3.2,0.8366600265340756,3,2,4
2-3 年,Q29,我理解以下 KIST 教學特色 [卓越教學架構],5,2.4,0.8944271909999159,3,1,3
2-3 年,Q30,我理解以下 KIST 教學特色 [社交與情緒學習 SEL],5,3.6,0.5477225575051661,4,3,4
2-3 年,Q31,我理解以下 KIST 教學特色 [品格鍛鍊],5,3.4,0.8944271909999159,4,2,4
2-3 年,Q32,我理解以下 KIST 教學特色 [個人化學習],5,3.2,0.44721359549995787,3,3,4
2-3 年,Q33,我理解以下 KIST 教學特色 [文化相關教育學 CRP],5,2.8,1.3038404810405297,3,1,4
2-3 年,Q34,我理解以下 KIST 教學特色 [專題與探究學習 PBL],5,3.4,0.5477225575051661,3,3,4
2-3 年,Q35,我理解以下 KIST 教學特色 [永續發展目標 SDGs],5,2.8,1.3038404810405297,3,1,4
2-3 年,Q36,在我的工作場域，我們的語言與行動都有清楚回應 聯盟 的願景與發展目標,5,3.2,0.8366600265340756,3,2,4
2-3 年,Q37,在我的工作場域，我們會為聯盟的願景與目標全力以赴,5,3.4,0.5477225575051661,3,3,4
2-3 年,Q38,KIST 聯盟中有我視為導師的人,5,3.6,0.5477225575051661,4,3,4
2-3 年,Q39,我對身為 KIST 聯盟的一員感到驕傲,5,3.6,0.5477225575051661,4,3,4
2-3 年,Q40,我會向合適的人才推薦 KIST 聯盟,5,3.8,0.44721359549995793,4,3,4
