New_Column,Original_Column
Q55,在工作中，我覺得我的意見受到重視
Q56,工作遇到問題時，我知道如何從內部尋求諮詢與取得資源協助
Q57,我能在工作中建立有意義的人際關係
Q58,針對我的工作表現，我可以收到實用且及時的回饋
Q59,我的工作表現出色時，會收到正面肯定與回饋
Q60,組織中有關心我身心狀態與幸福感的人
Q61,對於與我個人或我工作攸關的決策中，我有機會理解決策的原委
Q62,我對組織的領導團隊有信心
Q63,我可以安心地和領導團隊溝通我的建議和想法（用愛心說真話）
Q64,組織夥伴會為組織的願景與目標全力以赴
Q65,當環境或工作進展出現超出預期的變化時，我們能夠快速做出有效的回應，包含決策和行動的調整
Q66,我們在決策與執行的過程中，能充分納入內外部利害關係人的觀點
Q67,就算不一定會成功，我們仍被鼓勵持續突破與創新
Q68,在嘗試後如果結果不如預期，我們很可能會受到責難或處罰
Q69,我們總是可以從失敗的經驗中學習
Q70,我最喜歡 誠致 的地方是：
Q71,如果調整或改變這些事情，會讓我在 誠致 工作更為投入且感到被鼓舞：
Q72,相較過去我待過的組織，我覺得 誠致 [更好 / 我更喜歡的地方] 是：
Q73,相較過去我待過的組織，我覺得 誠致 [需要加強 / 我不太喜歡的地方] 是：
Q74,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [個人發展藍圖（職涯發展藍圖）]
Q75,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [IDP & O3]
Q76,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [增能課程]
Q77,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [小後台圍圈]
Q78,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [相揪 KI 運動]
Q79,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [動滋券]
Q80,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [專業成長券]
Q81,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [健康檢查]
Q82,誠致 所提供的 [培育與激勵] 資源，對我職場體驗的幫助程度是： [諮商補助]
Q83,誠致 所提供的 職場體驗，做什麼樣的改變，能讓資源更好使用、更有幫助？
Q84,我覺得我的工作是有意義的
Q85,我覺得我在工作中持續成長
Q86,我覺得在目前工作上，成長最多的能力是？ [問題解決]
Q87,我覺得在目前工作上，成長最多的能力是？ [分析與策略思維]
Q88,我覺得在目前工作上，成長最多的能力是？ [專案與資源管理]
Q89,我覺得在目前工作上，成長最多的能力是？ [自我覺察與自我成長]
Q90,我覺得在目前工作上，成長最多的能力是？ [發展與輔導他人]
Q91,我覺得在目前工作上，成長最多的能力是？ [溝通／引導]
Q92,我覺得在目前工作上，成長最多的能力是？ [會議管理]
Q93,我覺得在目前工作上，成長最多的能力是？ [數據分析]
Q94,我覺得在目前工作上，成長最多的能力是？ [體驗設計]
Q95,我目前工作上，最有意義感或持續成長的時刻？（100 字內）
Q96,組織內有我視為導師的人
Q97,目前的職涯發展機會對我有吸引力
Q98,目前的薪資福利，能鼓勵我發揮最佳表現
Q99,我希望自己未來能成為 誠致 領導人（例如：組長、經理、總監）
Q100,我預計會在 誠致 持續任職
Q101,如果有機會，我會考慮到 KIST 學校 服務
Q102,對於自己在 誠致 的發展規劃與許願？
Q103,我對身為 誠致 的一員感到驕傲
Q104,整體而言，我對於在 誠致 工作的滿意度是：
Q105,歡迎補充上一題滿意度評分的原因是？
Q106,我會向合適的人才推薦 誠致
Q107,針對 誠致，我想要許願（非必填）
Q108,最後，我還想說（非必填）
