問題,學校平均值
KIST 體系所提供的 [教學領導人發展] 資源，對我在校工作的幫助程度是： - 參與聯盟專案（開發教學流程指引 / 教材 / 講義等）,3.33
KIST 體系所提供的 [新進教師支持] 資源，我使用頻率為： - 校內 Coach / Mentor 觀議課,
KIST 體系所提供的 [新進教師支持] 資源，我使用頻率為： - 《New KISTer 導航》新進教師資源平台,
KIST 體系所提供的 [新進教師支持] 資源，我使用頻率為： - New KISTer Line 群組,
KIST 體系所提供的 [教學支持] 資源，我所使用的頻率為： - KIST 教師風味手冊,
KIST 體系所提供的 [教學支持] 資源，我所使用的頻率為： - NCDP 非認知能力平台,
KIST 體系所提供的 [教學支持] 資源，我所使用的頻率為： - 《KIST 圖書館》資源平台,
KIST 體系所提供的 [教學支持] 資源，我所使用的頻率為： - 《KIST 透可版》臉書社團,
我認同我的學校的願景與目標,3.09
在我的學校，我們的語言與行動都有清楚回應學校的願景與發展目標,3.39
我瞭解我的學校的相關動態（例如：重要活動行事曆、校內重大消息...等）,3.75
我清楚我的工作目標，以及學校對我工作成果的期望,3.69
我理解我的工作與學校目標的關聯性,3.69
我擁有做好我工作所需要的資源（包含：資料、資訊、設備...),3.48
在工作中，我有足夠的學習機會或資源，提升我工作所需的知識與技能,3.44
學校目前的協作方式或政策，能有效促進溝通效率和合作品質,3.25
當我在學校與不同夥伴或部門合作時，過程是順暢的,3.37
在工作中，我覺得我的意見受到重視,3.45
工作遇到問題時，我知道如何從校內尋求諮詢與取得資源協助,3.51
我能在工作中建立有意義的人際關係,3.58
針對我的工作表現，我可以收到實用且及時的回饋,3.35
我的工作表現出色時，會收到正面肯定與回饋,3.51
學校中有關心我身心狀態與幸福感的人,3.54
對於與我個人或我工作攸關的決策中，我有機會理解決策的原委,3.39
我對學校的領導團隊有信心,3.39
我可以安心地和領導團隊溝通我的建議和想法（用愛心說真話）,3.36
學校成員會為學校的願景與目標全力以赴,3.34
當環境或工作進展出現超出預期的變化時，我們能夠快速做出有效的回應，包含決策和行動的調整,3.46
我們在決策與執行的過程中，能充分納入內外部利害關係人的觀點,3.28
就算不一定會成功，我們仍被鼓勵持續突破與創新,3.47
在嘗試後如果結果不如預期，我們很可能會受到責難或處罰,2.02
我們總是可以從失敗的經驗中學習,3.44
我覺得我的工作是有意義的,3.82
我覺得我在工作中持續成長,3.74
KIST 聯盟中有我視為導師的人,3.48
目前的職涯發展機會對我有吸引力,3.24
我希望自己未來能成為學校領導人（例如：主任、校長）,2.40
未來若轉換學校，我願意優先考慮 KIST 聯盟內的學校,3.15
如果有機會，我會考慮到誠致基金會（含教育發展中心 EDC）任職,2.45
我對身為 KIST 的一員感到驕傲,3.61
我會向合適的人才推薦 KIST 聯盟,3.55
